"song_title","register","year","points","peak_rank"
"We're A Winner",8,1967,776,14
"Thank The Lord For The Night Time",5,1967,744,13
"C'mon Marianne",8,1967,741,9
"(I Wanna) Testify",7,1967,740,20
"Mirage",6,1967,738,10
"All I Need",7,1967,737,8
"The 59th Street Bridge Song (Feelin' Groovy)",6,1967,731,13
"You Got What It Takes",7,1967,723,7
"Him Or Me - What's It Gonna Be?",7,1967,710,5
"San Franciscan Nights",7,1967,707,9
"With This Ring",7,1967,706,14
"A Girl Like You",8,1967,705,10
"Hey Baby (They're Playing Our Song)",8,1967,678,12
"Strawberry Fields Forever",5,1967,671,8
"(Loneliness Made Me Realize) It's You That I Need",8,1967,669,14
"Ding Dong! The Witch Is Dead",7,1967,657,11
"I'm A Man",6,1967,657,10
"Words",9,1967,645,11
"People Are Strange",6,1967,644,12
"The Tracks Of My Tears",5,1967,643,10
"Am I That Easy To Forget",5,1967,621,18
"Do It Again A Little Bit Slower",6,1967,621,18
"Come See About Me",9,1967,618,24
"There Is A Mountain",5,1967,611,11
"To Love Somebody",7,1967,609,17
"Tomorrow",6,1967,607,23
"Let The Good Times Roll & Feel So Good",6,1967,605,22
"The Love I Saw In You Was Just A Mirage",7,1967,601,20
"When I Was Young",5,1967,598,15
"At The Zoo",6,1967,596,16
"Beggin'",8,1967,591,16
"My Mammy",6,1967,587,13
"Pretty Ballerina",6,1967,585,15
"I Had A Dream",8,1967,578,17
"I'm Wondering",8,1967,567,12
"Beg, Borrow And Steal",7,1967,565,29
"Holiday",5,1967,564,16
"(The Lights Went Out In) Massachusetts",6,1967,556,11
"Dandelion",5,1967,549,14
"Darlin'",7,1967,548,19
"Gentle On My Mind",6,1967,544,39
"Yellow Balloon",5,1967,544,25
"Let Love Come Between Us",7,1967,539,23
"7 Rooms Of Gloom",7,1967,535,14
"Gettin' Together",6,1967,533,18
"Shake A Tail Feather",7,1967,526,25
"Neon Rainbow",5,1967,525,24
"No Milk Today",5,1967,521,35
"You Got To Me",5,1967,521,18
"You Keep Running Away",6,1967,519,19
"Kentucky Woman",5,1967,517,22
"Darling Be Home Soon",5,1967,517,15
"For Your Precious Love",7,1967,512,23
"Ups And Downs",6,1967,509,22
"The Oogum Boogum Song",8,1967,496,34
"Sit Down, I Think I Love You",7,1967,488,36
"Get Me To The World On Time",7,1967,486,27
"Six O'Clock",6,1967,482,18
"My Girl Josephine",6,1967,478,29
"I Can't Stand Myself (When You Touch Me)",5,1967,473,28
"Who Will Answer?",4,1967,467,19
"Sunshine Girl",7,1967,465,20
"Fakin' It",7,1967,462,23
"Things I Should Have Said",7,1967,461,23
"It's Wonderful",5,1967,460,20
"Bring It Up",9,1967,453,29
"Happy Jack",7,1967,448,24
"The Return Of The Red Baron",7,1967,446,15
"Wear Your Love Like Heaven",6,1967,441,23
"Detroit City",5,1967,439,27
"Indescribably Blue",7,1967,433,33
"Yesterday",5,1967,424,25
"Like An Old Time Movie",7,1967,406,24
"I'm In Love",7,1967,406,45
"Explosion (In Your Soul)",7,1967,402,33
"Stag-O-Lee",7,1967,398,22
"Pay You Back With Interest",7,1967,395,28
"Love Me Two Times",7,1967,392,25
"She's A Rainbow",6,1967,390,25
"Sound Of Love",5,1967,384,36
"So You Want To Be A Rock 'N' Roll Star",6,1967,382,29
"Gonna Give Her All The Love I've Got",7,1967,374,29
"She Is Still A Mystery",6,1967,374,27
"Show Me",9,1967,373,35
"Everybody Needs Somebody To Love",8,1967,373,29
"My Back Pages",6,1967,365,30
"Wild Honey",7,1967,364,31
"Travlin' Man",7,1967,354,32
"Beautiful People",5,1967,351,38
"Too Many Fish In The Sea & Three Little Fishes",6,1967,350,24
"Anything Goes",6,1967,348,43
"Nothing Takes The Place Of You",7,1967,348,52
"Mr. Dream Merchant",5,1967,342,38
"Everybody Knows",6,1967,341,43
"Your Unchanging Love",8,1967,340,33
"Baby You Got It",7,1967,337,34
"Back On The Street Again",5,1967,336,36
"Dear Eloise",7,1967,329,50
"In The Heat Of The Night",7,1967,328,33
"Zip Code",8,1967,327,36
"Shoot Your Shot",9,1967,325,44
"You Must Have Been A Beautiful Baby",7,1967,325,35
"Since You Showed Me How To Be Happy",8,1967,322,32
"Can't Seem To Make You Mine",4,1967,321,41
"Walkin' In The Sunshine",6,1967,319,37
"Paper Cup",7,1967,315,34
"Get It Together (Part 1)",9,1967,311,40
"Shout Bamalama",6,1967,311,54
"Put Your Mind At Ease",7,1967,310,46
"Run, Run, Run",5,1967,307,53
"Misty Blue",5,1967,304,57
"O-O, I Love You",7,1967,304,61
"Wish You Didn't Have To Go",6,1967,303,38
"Let's Spend The Night Together",7,1967,303,55
"Girls In Love",7,1967,297,39
"Little Ole Wine Drinker, Me",5,1967,287,38
"Baby You're A Rich Man",7,1967,287,34
"Rock 'N' Roll Woman",5,1967,286,44
"The Loser (With A Broken Heart)",6,1967,283,43
"You Were On My Mind",4,1967,282,36
"Together",7,1967,282,48
"Museum",5,1967,281,39
"No Fair At All",7,1967,281,51
"Love Me Tender",8,1967,280,40
"It's Got To Be Mellow",7,1967,278,63
"Jill",5,1967,276,52
"Ha Ha Said The Clown",7,1967,276,45
"I Take What I Want",7,1967,274,41
"One More Mountain To Climb",6,1967,274,45
"Ballad Of You & Me & Pooneil",7,1967,273,42
"I've Got To Have A Reason",5,1967,270,44
"Somebody Help Me",8,1967,269,47
"Melancholy Music Man",6,1967,267,43
"Danny Boy",6,1967,266,60
"Bluebird",6,1967,262,58
"Shake",7,1967,260,47
"Airplane Song (My Airplane)",6,1967,253,46
"I Dig You Baby",5,1967,248,60
"Little Games",5,1967,248,51
"Woman Like That, Yeah",7,1967,242,54
"We Love You",5,1967,242,50
"Out Of Left Field",7,1967,235,59
"Time, Time",4,1967,230,61
"Joy",5,1967,222,41
"Suzanne",4,1967,221,56
"My Babe",5,1967,218,50
"I Could Be So Good To You",5,1967,214,56
"Pictures Of Lily",8,1967,214,51
"There's Always Me",4,1967,210,56
"Oh That's Good, No That's Bad",5,1967,208,54
"King Midas In Reverse",6,1967,207,51
"This Town",4,1967,205,53
"Take Me (Just As I Am)",7,1967,203,49
"Turn The World Around",5,1967,199,66
"The People In Me",5,1967,190,66
"There Goes My Everything",5,1967,184,65
"Go-Go Girl",6,1967,182,62
"Oooh, Baby Baby",7,1967,178,63
"Lost",5,1967,177,62
"Pipe Dream",5,1967,175,60
"Purple Haze",5,1967,174,65
"Kansas City",9,1967,172,55
"Soul Dance Number Three",7,1967,168,55
"It's Cold Outside",5,1967,158,68
"Girl I Need You",8,1967,156,69
"I Am The Walrus",7,1967,152,56
"Long Legged Girl (With The Short Dress On)",5,1967,150,63
"Love You So Much",6,1967,150,61
"A Woman's Hands",7,1967,149,63
"Keep A Light In The Window Till I Come Home",7,1967,149,64
"Oh Yeah!",4,1967,140,62
"Glory Of Love",6,1967,139,60
"Black Sheep",5,1967,137,68
"Cry To Me",8,1967,134,70
"Don't You Miss Me A Little Bit Baby",7,1967,133,68
"Sunshine Games",5,1967,133,63
"Sweet, Sweet Lovin'",8,1967,129,70
"Groovy Summertime",7,1967,127,74
"Just Out Of Reach (Of My Two Empty Arms)",6,1967,126,66
"One By One",5,1967,125,71
"You Can't Stand Alone",7,1967,124,70
"It's A Happening World",6,1967,123,69
"Am I Grooving You",8,1967,119,71
"Baby I'm Lonely",7,1967,114,70
"I'll Turn To Stone",8,1967,111,76
"Live",7,1967,110,63
"A Little Bit Now",8,1967,105,67
"Foxey Lady",7,1967,103,67
"Every Day I Have The Blues",6,1967,95,74
"The Dark End Of The Street",7,1967,92,77
"It Could Be We're In Love",6,1967,91,85
"I'll Do It For You",4,1967,89,77
"My World Fell Down",4,1967,88,70
"Stranded In The Middle Of Noplace",7,1967,86,72
"Cross My Heart",6,1967,84,86
"Raise Your Hand",7,1967,77,79
"Leopard-Skin Pill-Box Hat",6,1967,67,81
"Deadend Street",6,1967,67,73
"I've Lost You",7,1967,66,82
"Daylight Savin' Time",5,1967,66,79
"I Love You More Than Words Can Say",7,1967,64,78
"I Can't Stay Away From You",4,1967,63,80
"Eight Men, Four Women",5,1967,56,80
"The Little Black Egg",5,1967,56,85
"Have You Seen Her Face",6,1967,54,74
"Can't Help But Love You",7,1967,49,78
"They're Here",4,1967,48,77
"My Special Prayer",6,1967,48,87
"For Once In My Life",7,1967,48,91
"Baby, Help Me",7,1967,45,87
"A Love That's Real",7,1967,45,82
"Lovey Dovey/You're So Fine",6,1967,43,86
"Danger! She's A Stranger",5,1967,43,89
"Here Comes Heaven",3,1967,40,91
"Hey Love",7,1967,40,90
"Sweetest One",8,1967,40,88
"There's A Chance We Can Make It",6,1967,38,81
"Lady Friend",5,1967,38,82
"No Good To Cry",7,1967,34,88
"She Took You For A Ride",8,1967,29,92
"Omaha",7,1967,29,88
"You Are My Sunshine",6,1967,28,88
"Dancin' Out Of My Heart",8,1967,28,87
"Full Measure",5,1967,28,87
"Lonely Again",3,1967,27,87
"Just Be Sincere",8,1967,26,91
"Goin' Back",5,1967,26,89
"Ain't Gonna Rest (Till I Get You)",6,1967,26,87
"Mr. Farmer",4,1967,26,86
"To Be A Lover",8,1967,24,94
"Speak Her Name",5,1967,23,89
"What Am I Living For",6,1967,17,91
"Got To Have You Back",8,1967,16,93
"You're A Very Lovely Woman",6,1967,14,94
"Sam's Place",6,1967,13,92
"She Shot A Hole In My Soul",5,1967,13,95
"Pony With The Golden Mane",5,1967,13,93
"Not So Sweet Martha Lorraine",6,1967,12,95
"Somebody's Sleeping In My Bed",6,1967,12,95
"Different Strokes",8,1967,12,95
"Everybody Loves A Winner",6,1967,12,95
"Mercy, Mercy, Mercy",6,1967,11,96
"Red Roses For Mom",5,1967,10,95
"Come On Sock It To Me",8,1967,10,97
"Ten Little Indians",7,1967,10,96
"Sing Along With Me",5,1967,10,91
"Make A Little Love",7,1967,8,97
"I Can't Help It (If I'm Still In Love With You)",5,1967,7,94
"Paper Sun",7,1967,7,94
"I'll Never Find Another You",4,1967,6,97
"No Time Like The Right Time",6,1967,6,96
"Penny Arcade",6,1967,6,95
"Why? (Am I Treated So Bad)",4,1967,6,95
"Desiree'",8,1967,5,98
"Girl (You Captivate Me)",7,1967,4,98
"When The Snow Is On The Roses",4,1967,4,98
"Love Is A Doggone Good Thing",6,1967,4,97
"My Old Car",6,1967,4,97
"Don't Rock The Boat",6,1967,3,98
"I Want To Talk About You",7,1967,3,98
"Requiem For The Masses",5,1967,2,100
"Little Miss Sunshine",5,1967,2,99
"Time Seller",6,1967,1,100
"Hey Jude",7,1968,1770,1
"Sunshine Of Your Love",7,1968,1632,5
"Everyday People",7,1968,1451,1
"I Heard It Through The Grapevine",8,1968,1391,1
"Crimson And Clover",6,1968,1387,1
"(Sittin' On) The Dock Of The Bay",6,1968,1383,1
"Honey",4,1968,1311,1
"Little Green Apples",4,1968,1265,2
"Mony Mony",6,1968,1254,3
"Magic Carpet Ride",6,1968,1245,3
"People Got To Be Free",6,1968,1244,1
"Tighten Up",6,1968,1226,1
"Cry Like A Baby",7,1968,1216,2
"This Guy's In Love With You",4,1968,1212,1
"Who's Making Love",8,1968,1195,5
"For Once In My Life",7,1968,1193,2
"Hooked On A Feeling",7,1968,1168,5
"Midnight Confessions",7,1968,1165,5
"Abraham, Martin And John",6,1968,1159,4
"Dance To The Music",9,1968,1137,8
"Mrs. Robinson",7,1968,1134,1
"I Wish It Would Rain",7,1968,1134,4
"La - La - Means I Love You",7,1968,1128,4
"The Ballad Of Bonnie And Clyde",5,1968,1113,7
"Touch Me",5,1968,1096,3
"Born To Be Wild",7,1968,1092,2
"Cowboys To Girls",8,1968,1091,6
"Simon Says",7,1968,1089,4
"A Beautiful Morning",9,1968,1076,3
"Love Is All Around",4,1968,1074,7
"Hold Me Tight",6,1968,1072,5
"Yummy Yummy Yummy",5,1968,1065,4
"Hello, I Love You",6,1968,1047,1
"Slip Away",6,1968,1045,6
"Girl Watcher",6,1968,1041,5
"Jumpin' Jack Flash",5,1968,1015,3
"MacArthur Park",4,1968,1014,2
"Light My Fire",7,1968,1013,3
"Too Weak To Fight",7,1968,1007,13
"I Love You",5,1968,1002,14
"Can I Change My Mind",5,1968,997,5
"1, 2, 3, Red Light",7,1968,987,5
"This Magic Moment",6,1968,985,6
"Take Time To Know Her",5,1968,983,11
"Cloud Nine",7,1968,980,6
"Pictures Of Matchstick Men",5,1968,975,12
"I Got The Feelin'",6,1968,958,6
"I've Gotta Get A Message To You",7,1968,956,8
"Lady Madonna",6,1968,954,4
"Hurdy Gurdy Man",5,1968,952,5
"Worst That Could Happen",6,1968,935,3
"Chewy Chewy",7,1968,919,15
"Indian Lake",4,1968,917,10
"Over You",7,1968,908,7
"Things I'd Like To Say",6,1968,906,16
"Shoo-Be-Doo-Be-Doo-Da-Day",8,1968,905,9
"If I Can Dream",6,1968,892,12
"White Room",6,1968,888,6
"Summertime Blues",8,1968,880,14
"Ramblin' Gamblin' Man",7,1968,878,17
"If You Can Want",8,1968,875,11
"Bring It On Home To Me",7,1968,870,17
"Cab Driver",6,1968,864,23
"Time Has Come Today",6,1968,857,11
"I Started A Joke",7,1968,850,6
"Say It Loud - I'm Black And I'm Proud (Part 1)",7,1968,846,10
"Mighty Quinn (Quinn The Eskimo)",6,1968,841,10
"Here Comes The Judge",6,1968,830,8
"Sealed With A Kiss",7,1968,823,19
"Going Up The Country",7,1968,821,11
"Scarborough Fair (/Canticle)",7,1968,818,11
"Hey, Western Union Man",6,1968,811,16
"In-A-Gadda-Da-Vida",5,1968,810,30
"Never Give You Up",8,1968,809,20
"Valleri",8,1968,806,3
"Bang-Shang-A-Lang",6,1968,804,22
"Lo Mucho Que Te Quiero (The More I Love You)",6,1968,801,14
"Just Dropped In (To See What Condition My Condition Was In)",6,1968,796,5
"Sweet Cream Ladies, Forward March",7,1968,795,28
"Funky Street",6,1968,790,14
"She's A Heartbreaker",9,1968,789,16
"Hush",6,1968,785,4
"I Will Always Think About You",5,1968,784,22
"Journey To The Center Of The Mind",8,1968,762,16
"My Special Angel",4,1968,759,7
"Words",6,1968,734,15
"Shape Of Things To Come",6,1968,705,22
"The Eyes Of A New York Woman",5,1968,704,28
"I Could Never Love Another (After Loving You)",7,1968,700,13
"The Son Of Hickory Holler's Tramp",3,1968,692,40
"Everything That Touches You",6,1968,687,10
"There Is",8,1968,685,20
"She's Lookin' Good",7,1968,674,15
"There's Gonna Be A Showdown",6,1968,673,21
"I Can Take Or Leave Your Loving",8,1968,658,22
"On The Road Again",8,1968,638,16
"Do It Again",5,1968,622,20
"All Along The Watchtower",5,1968,622,20
"Tuesday Afternoon (Forever Afternoon)",5,1968,611,24
"Folsom Prison Blues",4,1968,609,32
"If I Were A Carpenter",6,1968,595,20
"Autumn Of My Life",4,1968,593,19
"Quick Joey Small (Run Joey Run)",7,1968,593,25
"Licking Stick - Licking Stick (Part 1)",7,1968,577,14
"We Can Fly",5,1968,572,21
"Hey Jude",7,1968,571,23
"Papa's Got A Brand New Bag",7,1968,568,21
"This Is My Country",7,1968,562,25
"Walk Away Renee",6,1968,560,14
"Hi-Heel Sneakers",7,1968,560,25
"Baby Let's Wait",7,1968,556,35
"Alice Long (You're Still My Favorite Girlfriend)",6,1968,552,27
"Tip-Toe Thru' The Tulips With Me",10,1968,548,17
"I Wanna Live",6,1968,547,36
"California Soul",6,1968,539,25
"Magic Bus",8,1968,539,25
"Chained",8,1968,536,32
"Don't Take It So Hard",7,1968,535,27
"A Man Without Love (Quando M'innamoro)",6,1968,534,19
"Cycles",6,1968,533,23
"Too Much Talk",8,1968,533,19
"The Snake",6,1968,530,27
"Jennifer Eccles",7,1968,529,40
"Jennifer Juniper",5,1968,527,26
"Choo Choo Train",7,1968,526,26
"Special Occasion",6,1968,520,26
"Will You Love Me Tomorrow",6,1968,518,24
"Does Your Mama Know About Me",7,1968,509,29
"A Ray Of Hope",6,1968,507,24
"Brown Eyed Woman",7,1968,506,43
"Down At Lulu's",6,1968,495,33
"Little Green Apples",3,1968,494,39
"The Happy Song (Dum-Dum)",8,1968,486,25
"Break Your Promise",9,1968,484,35
"D. W. Washburn",7,1968,480,19
"Daddy Sang Bass",3,1968,478,42
"Here Comes The Judge",5,1968,469,19
"Take Good Care Of My Baby",4,1968,467,33
"Les Bicyclettes De Belsize",7,1968,461,31
"The Funky Judge",8,1968,460,39
"Halfway To Paradise",6,1968,456,23
"If You Don't Want My Love",10,1968,454,49
"Hitch It To The Horse",6,1968,454,34
"Dreams Of The Everyday Housewife",7,1968,451,32
"Are You Happy",5,1968,446,39
"A Question Of Temperature",5,1968,444,37
"Please Return Your Love To Me",8,1968,437,26
"(Love Is Like A) Baseball Game",7,1968,435,26
"Yester Love",8,1968,434,31
"Time For Livin'",8,1968,434,39
"Ready Or Not Here I Come (Can't Hide From Love)",8,1968,431,35
"Goody Goody Gumdrops",7,1968,420,37
"Help Yourself",5,1968,420,35
"Take Me For A Little While",6,1968,411,38
"Call Me Lightning",7,1968,400,40
"I've Never Found A Girl (To Love Me Like You Do)",6,1968,399,40
"I'm Sorry",8,1968,398,42
"I'm A Midnight Mover",8,1968,398,24
"The Unknown Soldier",6,1968,396,39
"You Met Your Match",8,1968,391,35
"Put Your Head On My Shoulder",4,1968,389,44
"Till",4,1968,389,27
"Fly Me To The Moon",6,1968,388,52
"I Get The Sweetest Feeling",9,1968,377,34
"You",8,1968,373,34
"Men Are Gettin' Scarce",8,1968,360,33
"Goodbye My Love",7,1968,358,31
"Rockin' In The Same Old Boat",6,1968,340,58
"Wear It On Our Face",9,1968,339,44
"I Found A True Love",8,1968,339,42
"Mr. Businessman",5,1968,334,28
"I've Got Dreams To Remember",6,1968,332,41
"Crosstown Traffic",5,1968,328,52
"California Dreamin'",6,1968,326,43
"Shake",7,1968,318,46
"It's Nice To Be With You",5,1968,311,51
"Tapioca Tundra",5,1968,311,34
"For Your Precious Love",7,1968,309,49
"Rice Is Nice",8,1968,302,46
"And Suddenly",8,1968,299,45
"Can't You See Me Cry",5,1968,293,52
"Strawberry Shortcake",5,1968,292,39
"I Met Her In Church",5,1968,286,37
"Unwind",5,1968,282,52
"Feelin' So Good (S.k.o.o.b.y-D.o.o)",5,1968,282,53
"From The Teacher To The Preacher",8,1968,277,57
"Malinda",9,1968,275,48
"Living In The U.s.a.",7,1968,273,49
"Friends",7,1968,267,47
"Slow Drag",7,1968,265,54
"Hard To Handle",7,1968,257,51
"A Man Needs A Woman",6,1968,256,63
"Hey Little One",6,1968,255,54
"Street Fighting Man",7,1968,250,48
"Maybe Just Today",5,1968,248,46
"That's A Lie",6,1968,247,64
"Six Man Band",6,1968,247,47
"I Love You Madly",6,1968,245,56
"Yesterday's Dreams",6,1968,245,49
"We're Rolling On (Part I)",8,1968,240,59
"Don't Change Your Love",7,1968,239,59
"Money",6,1968,238,48
"I Put A Spell On You",8,1968,237,58
"I Guess I'll Have To Cry, Cry, Cry",7,1968,228,55
"Not On The Outside",8,1968,227,57
"You've Got To Be Loved",5,1968,226,58
"A Man And A Half",8,1968,225,42
"Poor Baby",7,1968,224,44
"I Got A Sure Thing",6,1968,223,73
"Amen",6,1968,220,36
"Cinderella Sunshine",8,1968,220,58
"Bluebirds Over The Mountain",5,1968,218,61
"Jumbo",6,1968,217,57
"Looking For A Fox",6,1968,217,62
"I'm In A Different World",6,1968,217,51
"In Need Of A Friend",7,1968,216,54
"Got What You Need",6,1968,214,56
"Jelly Jungle (Of Orange Marmalade)",7,1968,212,51
"I Loved And I Lost",9,1968,212,61
"Jealous Love",8,1968,212,50
"Look, Here Comes The Sun",7,1968,209,56
"Porpoise Song",7,1968,207,62
"Keep The One You Got",6,1968,205,52
"The Weight",7,1968,205,63
"Be Young, Be Foolish, Be Happy",5,1968,204,61
"Back In Love Again",7,1968,201,57
"New Orleans",5,1968,200,51
"Back On My Feet Again",6,1968,194,59
"Isn't It Lonely Together",4,1968,188,63
"I Walk Alone",5,1968,185,65
"I'll Never Do You Wrong",6,1968,184,59
"Brooklyn Roads",5,1968,184,58
"I Wish I Knew (How It Would Feel To Be Free)",5,1968,182,68
"Mountain Of Love",6,1968,181,67
"Mrs. Bluebird",4,1968,177,69
"I Can Remember",7,1968,171,51
"Hold On",7,1968,170,68
"I Ain't Got To Love Nobody Else",7,1968,169,57
"The Yard Went On Forever",6,1968,166,64
"My Shy Violet",5,1968,164,73
"Sleepy Joe",5,1968,158,61
"White Houses",5,1968,155,67
"Sudden Stop",8,1968,155,63
"Sit With The Guru",6,1968,154,65
"A Million To One",7,1968,152,68
"(The Puppet Song) Whiskey On A Sunday",4,1968,151,75
"Do Unto Me",7,1968,150,73
"Competition Ain't Nothin'",8,1968,144,75
"With A Little Help From My Friends",6,1968,142,68
"Smell Of Incense",6,1968,139,56
"Ride My See-Saw",6,1968,139,61
"Thank U Very Much",5,1968,130,69
"Barefoot In Baltimore",4,1968,128,67
"Breaking Up Is Hard To Do",8,1968,127,67
"Anyone For Tennis",5,1968,126,64
"It's Over",4,1968,124,74
"Stop",9,1968,108,76
"Red Red Wine",5,1968,106,62
"I'll Say Forever My Love",7,1968,105,77
"You Ain't Going Nowhere",4,1968,105,74
"Where Is My Mind",6,1968,104,73
"Sunday Sun",3,1968,100,68
"Apologize",4,1968,90,79
"Here's To You",8,1968,90,76
"Ice In The Sun",5,1968,89,70
"Do You Wanna Dance",6,1968,85,76
"Turn On Your Love Light",5,1968,82,80
"At The Top Of The Stairs",7,1968,73,83
"Everybody Got To Believe In Somebody",7,1968,69,73
"Goin' Away",4,1968,68,79
"Anything",5,1968,67,80
"Come To Me Softly",6,1968,67,76
"A Tribute To A King",6,1968,67,86
"Then You Can Tell Me Goodbye",4,1968,54,84
"Tit For Tat (Ain't No Taking Back)",7,1968,53,86
"Up From The Skies",5,1968,52,82
"Coo Coo",5,1968,51,84
"Eloise",6,1968,49,86
"Born To Be With You",4,1968,49,81
"Shout! - Part 1",8,1968,47,83
"On The Way Home",7,1968,47,82
"There Was A Time",8,1968,44,82
"Up On The Roof",5,1968,44,85
"You Need Me, Baby",6,1968,42,81
"The Biplane, Ever More",4,1968,42,91
"I Am Your Man",9,1968,41,85
"Release Me",9,1968,39,82
"He Don't Really Love You",8,1968,35,92
"Sweet Young Thing Like You",7,1968,33,83
"Funky Fever",5,1968,31,88
"Montage From How Sweet It Is (I Know That You Know)",4,1968,31,86
"Just A Little Bit",8,1968,30,92
"(She's) Some Kind Of Wonderful",6,1968,28,87
"Billy You're My Friend",7,1968,27,92
"Tell Someone You Love Them",7,1968,26,92
"Life",8,1968,24,93
"The Woman I Love",8,1968,21,94
"(Mama Come Quick, and Bring Your) Lickin' Stick",6,1968,20,91
"Rosanna's Going Wild",3,1968,20,91
"What's Made Milwaukee Famous (Has Made A Loser Out Of Me)",7,1968,19,94
"M'Lady",9,1968,19,93
"Listen, They're Playing My Song",7,1968,18,92
"Help Yourself (To All Of My Lovin')",7,1968,17,94
"Let The Heartaches Begin",4,1968,16,88
"Love In Them There Hills",6,1968,16,93
"Battle Of New Orleans",5,1968,12,95
"Tomboy",6,1968,12,96
"Bring Back Those Rockabye Baby Days",5,1968,10,95
"Do The Best You Can",7,1968,8,93
"(You Can't Let The Boy Overpower) The Man In You",8,1968,7,94
"Another Place Another Time",7,1968,7,97
"Have A Little Faith",6,1968,6,98
"In Some Time",8,1968,5,99
"Expecting To Fly",7,1968,5,98
